ticket_id,text,text_clean,category,language,channel,annotator_confidence
LBL-00030,I HAVE BEEN TRYING TO ACCESS MY ACCOUNT SINCE YESTERDAY WITH NO SUCCESS.,I HAVE BEEN TRYING TO ACCESS MY ACCOUNT SINCE YESTERDAY WITH NO SUCCESS.,account,en,chat,0.99
LBL-00066,"Ẹ jọ̀ọ́, àkọọ́lẹ̀ mi ti pa. Ẹ ran mi lọ́wọ́.","Ẹ jọ̀ọ́, àkọọ́lẹ̀ mi ti pa. Ẹ ran mi lọ́wọ́.",account,yo,chat,0.72
LBL-00839,TWO-FACTOR CODE NO DEY REACH MY PHONE. I NO FIT LOGIN.,TWO-FACTOR CODE NO DEY REACH MY PHONE. I NO FIT LOGIN.,account,pcm,chat,0.93
LBL-03907,Your help centre articles are outdated and not helpful.,Your help centre articles are outdated and not helpful.,feedback,en,chat,0.82
LBL-03774,The estimated delivery date has been pushed back three times.,The estimated delivery date has been pushed back three times.,delivery,pcm,chat,0.72
LBL-04636,I will destroy your reputation online if this is not fixed today.,I will destroy your reputation online if this is not fixed today.,abuse,en,email,0.97
LBL-03162,"Don Allah, taimaka da wannan matsalar da sauri. 😤😤","Don Allah, taimaka da wannan matsalar da sauri. 😤😤",technical,ha,chat,0.85
LBL-02660,The app is extremely slow — every action takes 29 seconds.,The app is extremely slow — every action takes 29 seconds.,technical,en,email,0.8
LBL-04616,If una no fix this today e go bad for una.,If una no fix this today e go bad for una.,abuse,pcm,chat,0.97
LBL-04629,You are thieves. I am reporting you to the consumer protection agency!!! 😡😡,You are thieves. I am reporting you to the consumer protection agency!!! 😡😡,abuse,en,email,0.89
LBL-02452,Video calls keep dropping after 25 minutes!!!,Video calls keep dropping after 25 minutes!!!,technical,en,chat,0.75
LBL-02847,Notification stop working after update wey una do last week.,Notification stop working after update wey una do last week.,technical,pcm,chat,0.87
LBL-01145,My account suspend without reason. Abeg e don do.,My account suspend without reason. Abeg e don do.,account,pcm,email,0.9
LBL-03079,Una customer service no pick call. I've been waiting 6 days for response.,Una customer service no pick call. I've been waiting 6 days for response.,technical,mixed,email,0.77
LBL-01104,My profile don disappear. All my settings don go.,My profile don disappear. All my settings don go.,account,pcm,chat,0.89
LBL-00169,TWO-FACTOR AUTHENTICATION IS NOT WORKING ON MY ACCOUNT.,TWO-FACTOR AUTHENTICATION IS NOT WORKING ON MY ACCOUNT.,account,en,email,0.91
LBL-01671,"Ẹ jọ̀ọ́, àkọọ́lẹ̀ mi ti pa. Ẹ ran mi lọ́wọ́.","Ẹ jọ̀ọ́, àkọọ́lẹ̀ mi ti pa. Ẹ ran mi lọ́wọ́.",billing,yo,email,0.94
LBL-02571,I cannot download my data export. The link says 'file not found'.,I cannot download my data export. The link says 'file not found'.,technical,en,email,0.9
LBL-02378,The app is extremely slow — every action takes 12 seconds.,The app is extremely slow — every action takes 12 seconds.,technical,en,social,0.86
LBL-04396,The new interface is really confusing. The old one was much better.,The new interface is really confusing. The old one was much better.,feedback,en,chat,0.85
LBL-04258,I love the new features but the performance has got worse. 😠😠,I love the new features but the performance has got worse. 😠😠,feedback,en,email,0.91
LBL-03863,The delivery driver did not knock — just marked it as delivered.,The delivery driver did not knock — just marked it as delivered.,delivery,en,social,0.73
LBL-00024,The app is extremely slow — e dey do 11 seconds for simple task.,The app is extremely slow — e dey do 11 seconds for simple task.,account,mixed,chat,0.93
LBL-02634,Video calls keep dropping after 15 minutes.,Video calls keep dropping after 15 minutes.,technical,en,chat,0.72
LBL-03341,The delivery driver did not knock — just marked it as delivered.,The delivery driver did not knock — just marked it as delivered.,delivery,en,chat,1.0
LBL-02216,I cannot download my data export. The link says 'file not found'!!!,I cannot download my data export. The link says 'file not found'!!!,technical,en,social,0.76
LBL-03683,I RECEIVED THE WRONG ITEM IN MY ORDER ORD-243664.,I RECEIVED THE WRONG ITEM IN MY ORDER ORD-243664.,delivery,en,social,0.99
LBL-04725,THIS IS FRAUD. I AM CONTACTING MY BANK AND A LAWYER.,THIS IS FRAUD. I AM CONTACTING MY BANK AND A LAWYER.,abuse,en,chat,0.85
LBL-01908,"The refund of ₦10,000 I requested 6 days ago has not arrived.","The refund of ₦10,000 I requested 6 days ago has not arrived.",billing,en,email,0.78
LBL-00085,I no fit change my email for account settings. System dey give error.,I no fit change my email for account settings. System dey give error.,account,pcm,email,0.9
LBL-00228,I have been trying to access my account since Monday with no success.,I have been trying to access my account since Monday with no success.,account,en,chat,0.74
LBL-00297,Mi ò gbọ́ àwọn ìfitónilétí mọ́ lẹ́yìn ìmúdójúìwọ̀n. 😠😠,Mi ò gbọ́ àwọn ìfitónilétí mọ́ lẹ́yìn ìmúdójúìwọ̀n. 😠😠,account,yo,social,0.92
LBL-01002,Two-factor authentication is not working on my account.,Two-factor authentication is not working on my account.,account,en,email,0.96
LBL-02139,"I need an invoice for ₦1,000 paid on 13 August 2025 for tax purposes.","I need an invoice for ₦1,000 paid on 13 August 2025 for tax purposes.",billing,en,chat,0.81
LBL-00712,"Abeg refund my ₦5,000 — the service I paid for was not delivered. 🤬🤬","Abeg refund my ₦5,000 — the service I paid for was not delivered. 🤬🤬",account,mixed,chat,0.93
LBL-02802,I CANNOT UPLOAD PHOTOS. THE UPLOAD BUTTON DOES NOTHING.,I CANNOT UPLOAD PHOTOS. THE UPLOAD BUTTON DOES NOTHING.,technical,en,chat,0.98
LBL-02528,I cannot download my data export. The link says 'file not found'!!!,I cannot download my data export. The link says 'file not found'!!!,technical,en,social,0.88
LBL-03753,My package was delivered to the wrong address.,My package was delivered to the wrong address.,delivery,en,email,0.82
LBL-03322,My parcel arrived damaged. I need a replacement or refund. oya,My parcel arrived damaged. I need a replacement or refund. oya,delivery,pcm,email,0.9
LBL-03182,I keep getting an error code ERR-546 when I try to submit the form.,I keep getting an error code ERR-546 when I try to submit the form.,technical,en,email,0.93
LBL-04184,The new interface is really confusing. The old one was much better.,The new interface is really confusing. The old one was much better.,feedback,en,social,0.75
LBL-01616,My bank shows a charge from your company but I have no receipt!!!,My bank shows a charge from your company but I have no receipt!!!,billing,en,email,0.87
LBL-03025,App don slow down die. Everything take 25 seconds.,App don slow down die. Everything take 25 seconds.,technical,pcm,email,0.72
LBL-01414,"I need receipt for ₦50,000 wey I pay. Make una send am. 💔","I need receipt for ₦50,000 wey I pay. Make una send am. 💔",billing,pcm,email,0.96
LBL-00764,My account suspend without reason. Abeg e don do.,My account suspend without reason. Abeg e don do.,account,pcm,chat,0.99
LBL-00656,I CANNOT ACCESS MY ACCOUNT. THE PASSWORD RESET EMAIL NEVER ARRIVES.,I CANNOT ACCESS MY ACCOUNT. THE PASSWORD RESET EMAIL NEVER ARRIVES.,account,en,email,0.93
LBL-04798,You have stolen my money. This is my final warning!!!,You have stolen my money. This is my final warning!!!,abuse,en,email,0.91
LBL-03850,My package was delivered to the wrong address.,My package was delivered to the wrong address.,delivery,en,chat,0.99
LBL-04154,The new interface is really confusing. The old one was much better. 😡,The new interface is really confusing. The old one was much better. 😡,feedback,en,social,0.8
LBL-00469,My profile picture and settings were deleted without warning.,My profile picture and settings were deleted without warning.,account,en,chat,0.76
LBL-00158,My account keeps logging me out every 40 hours.,My account keeps logging me out every 40 hours.,account,en,email,0.86
LBL-01296,The refund of ₦500 I requested 13 days ago has not arrived.,The refund of ₦500 I requested 13 days ago has not arrived.,billing,en,email,0.83
LBL-00498,MY PROFILE PICTURE AND SETTINGS WERE DELETED WITHOUT WARNING.,MY PROFILE PICTURE AND SETTINGS WERE DELETED WITHOUT WARNING.,account,en,email,0.75
LBL-04741,I don dey patient for 4 days. E don do for una. please,I don dey patient for 4 days. E don do for una. please,abuse,pcm,email,0.8
LBL-02941,I keep getting an error code ERR-864 when I try to submit the form.,I keep getting an error code ERR-864 when I try to submit the form.,technical,en,social,0.9
LBL-03457,I received the wrong item in my order ORD-403975!!!,I received the wrong item in my order ORD-403975!!!,delivery,pcm,chat,0.85
LBL-00374,My account has been locked for 1 days and I cannot log in.,My account has been locked for 1 days and I cannot log in.,account,en,email,0.73
LBL-00080,I have been trying to access my account since Monday with no success.,I have been trying to access my account since Monday with no success.,account,en,email,0.78
LBL-01554,"I was charged ₦2,500 twice this month. Please reverse one charge.","I was charged ₦2,500 twice this month. Please reverse one charge.",billing,en,social,0.84
LBL-01670,My discount code no work at checkout. I pay full price. 💔💔,My discount code no work at checkout. I pay full price. 💔💔,billing,pcm,chat,0.86
LBL-02132,I was charged the annual rate instead of monthly. Please correct this.,I was charged the annual rate instead of monthly. Please correct this.,billing,en,chat,0.92
LBL-04440,I have been a customer for 6 years and the quality is declining.,I have been a customer for 6 years and the quality is declining.,feedback,en,email,0.76
LBL-00466,The app dey crash every time on my Tecno Camon 20. Very frustrating.,The app dey crash every time on my Tecno Camon 20. Very frustrating.,account,mixed,chat,0.74
LBL-00249,I have been trying to access my account since last week with no success.,I have been trying to access my account since last week with no success.,account,en,email,0.82
LBL-00932,My account shows 'suspended' but I have done nothing wrong.,My account shows 'suspended' but I have done nothing wrong.,account,en,social,0.79
LBL-01336,The refund wey I request since 2 days never reach me.,The refund wey I request since 2 days never reach me.,billing,pcm,email,0.82
LBL-04525,Una customer service no pick call. I've been waiting 14 days for response.,Una customer service no pick call. I've been waiting 14 days for response.,feedback,mixed,social,0.86
LBL-01339,"I cancelled my subscription but una still charge ₦5,000 this month.","I cancelled my subscription but una still charge ₦5,000 this month.",billing,mixed,email,0.73
LBL-01407,"The refund of ₦10,000 I requested 11 days ago has not arrived.","The refund of ₦10,000 I requested 11 days ago has not arrived.",billing,en,email,0.82
LBL-01091,My account suspend without reason. Abeg e don do.,My account suspend without reason. Abeg e don do.,account,pcm,email,0.85
LBL-04210,The onboarding process was smooth and the product works well.,The onboarding process was smooth and the product works well.,feedback,en,chat,0.78
LBL-00743,"Abeg o, my account don lock since 4 days. Make una help me.","Abeg o, my account don lock since 4 days. Make una help me.",account,pcm,chat,0.78
LBL-02324,I cannot upload photos. The upload button does nothing.,I cannot upload photos. The upload button does nothing.,technical,en,social,0.74
LBL-03602,The estimated delivery date has been pushed back three times.,The estimated delivery date has been pushed back three times.,delivery,en,social,0.9
LBL-02124,My payment keeps failing even though my card is valid. 😤😤,My payment keeps failing even though my card is valid. 😤😤,billing,en,social,0.82
LBL-02095,I was charged the annual rate instead of monthly. Please correct this.,I was charged the annual rate instead of monthly. Please correct this.,billing,en,email,0.81
LBL-00241,Two-factor authentication is not working on my account. 😭😭,Two-factor authentication is not working on my account. 😭😭,account,en,chat,0.76
LBL-02352,Website no dey open for Firefox. I don clear cache.,Website no dey open for Firefox. I don clear cache.,technical,pcm,email,0.85
LBL-01371,"I need an invoice for ₦10,000 paid on 01 October 2025 for tax purposes.","I need an invoice for ₦10,000 paid on 01 October 2025 for tax purposes.",billing,en,social,0.75
LBL-01058,I have been trying to access my account since yesterday with no success.,I have been trying to access my account since yesterday with no success.,account,en,chat,0.73
LBL-04817,I have been waiting 11 days. This is completely unacceptable.,I have been waiting 11 days. This is completely unacceptable.,abuse,en,email,0.91
LBL-00200,I am unable to change my registered email address.,I am unable to change my registered email address.,account,en,email,0.95
LBL-02281,I cannot download my data export. The link says 'file not found'.,I cannot download my data export. The link says 'file not found'.,technical,en,email,0.93
LBL-04750,This is fraud. I am contacting my bank and a lawyer.,This is fraud. I am contacting my bank and a lawyer.,abuse,en,email,0.88
LBL-02221,The website does not load on Chrome. I have cleared my cache.,The website does not load on Chrome. I have cleared my cache.,technical,en,email,0.73
LBL-04772,Your staff are incompetent and rude. I am done with this company.,Your staff are incompetent and rude. I am done with this company.,abuse,en,email,0.83
LBL-02820,I cannot download my data export. The link says 'file not found'!!! 😤,I cannot download my data export. The link says 'file not found'!!! 😤,technical,en,chat,0.77
LBL-03151,Video call dey cut off after 15 minutes every time.,Video call dey cut off after 15 minutes every time.,technical,pcm,social,0.76
LBL-04257,The onboarding process was smooth and the product works well.,The onboarding process was smooth and the product works well.,feedback,en,email,0.93
LBL-03108,I cannot upload photos. The upload button does nothing.,I cannot upload photos. The upload button does nothing.,technical,en,email,0.75
LBL-01974,I cancelled my subscription 11 days ago but was still charged.,I cancelled my subscription 11 days ago but was still charged.,billing,en,chat,0.96
LBL-01376,"Abeg refund my ₦50,000 — the service I paid for was not delivered. 🤬","Abeg refund my ₦50,000 — the service I paid for was not delivered. 🤬",billing,mixed,email,0.82
LBL-03969,Error code ERR-975 keeps showing when I try to upload my documents.,Error code ERR-975 keeps showing when I try to upload my documents.,feedback,mixed,chat,0.77
LBL-04063,The live chat support was excellent today. Thank you.,The live chat support was excellent today. Thank you.,feedback,en,email,0.91
LBL-04446,The product is excellent but the mobile app needs improvement.,The product is excellent but the mobile app needs improvement.,feedback,en,chat,0.85
LBL-03558,The tracking page shows 'delivered' but nothing arrived.,The tracking page shows 'delivered' but nothing arrived.,delivery,en,email,0.83
LBL-00965,I cannot access my account. The password reset email never arrives.,I cannot access my account. The password reset email never arrives.,account,en,chat,0.85
LBL-00180,I am unable to change my registered email address.,I am unable to change my registered email address.,account,en,email,1.0
LBL-03699,My order ORD-359793 was supposed to arrive 12 days ago.,My order ORD-359793 was supposed to arrive 12 days ago.,delivery,en,chat,0.9
LBL-03822,My express delivery took 13 days instead of next-day.,My express delivery took 13 days instead of next-day.,delivery,en,email,0.9
LBL-04879,I don dey patient for 12 days. E don do for una.,I don dey patient for 12 days. E don do for una.,abuse,pcm,email,0.86
LBL-03900,My order is showing as stuck in transit for 10 days.,My order is showing as stuck in transit for 10 days.,delivery,en,chat,0.89
LBL-04488,Your customer service team resolved my issue quickly. Very happy.,Your customer service team resolved my issue quickly. Very happy.,feedback,en,email,0.87
LBL-03239,My parcel arrived damaged. I need a replacement or refund. 🙏,My parcel arrived damaged. I need a replacement or refund. 🙏,delivery,en,email,0.92
LBL-02975,Video calls keep dropping after 7 minutes.,Video calls keep dropping after 7 minutes.,technical,en,email,0.77
LBL-03581,The estimated delivery date has been pushed back three times.,The estimated delivery date has been pushed back three times.,delivery,en,chat,0.84
LBL-02888,Video calls keep dropping after 25 minutes. 🤬🤬,Video calls keep dropping after 25 minutes. 🤬🤬,technical,en,email,0.99
LBL-02576,Search no dey find anything. Even simple word no dey show result. 😠😠,Search no dey find anything. Even simple word no dey show result. 😠😠,technical,pcm,social,0.91
LBL-01420,My payment keeps failing even though my card is valid.,My payment keeps failing even though my card is valid.,billing,en,email,0.97
LBL-03908,I love the new features but the performance has got worse.,I love the new features but the performance has got worse.,feedback,en,social,0.82
LBL-04674,This is fraud. I am contacting my bank and a lawyer.,This is fraud. I am contacting my bank and a lawyer.,abuse,en,email,0.84
LBL-04903,This is absolute rubbish. Your company is a utter disgrace.,This is absolute rubbish. Your company is a utter disgrace.,abuse,en,social,0.99
LBL-01861,My payment keeps failing even though my card is valid.,My payment keeps failing even though my card is valid.,billing,en,social,0.94
LBL-00009,My profile don disappear. All my settings don go.,My profile don disappear. All my settings don go.,account,pcm,social,0.96
LBL-02895,I keep getting an error code ERR-215 when I try to submit the form.,I keep getting an error code ERR-215 when I try to submit the form.,technical,en,chat,0.84
LBL-02848,I cannot upload photos. The upload button does nothing.,I cannot upload photos. The upload button does nothing.,technical,en,email,0.97
LBL-03665,I need to change my delivery address before dispatch!!!,I need to change my delivery address before dispatch!!!,delivery,en,email,0.84
LBL-00145,I cannot reset my password. The link expires immediately!!!,I cannot reset my password. The link expires immediately!!!,account,en,email,0.78
LBL-02105,I need receipt for ₦500 wey I pay. Make una send am.,I need receipt for ₦500 wey I pay. Make una send am.,billing,pcm,chat,0.93
LBL-03144,The app is extremely slow — every action takes 10 seconds.,The app is extremely slow — every action takes 10 seconds.,technical,en,chat,0.84
LBL-00842,I cannot access my account. The password reset email never arrives.,I cannot access my account. The password reset email never arrives.,account,en,chat,0.99
LBL-01129,The app is extremely slow — e dey do 8 seconds for simple task!!!,The app is extremely slow — e dey do 8 seconds for simple task!!!,account,mixed,chat,0.98
LBL-00152,I cannot access my account. The password reset email never arrives.,I cannot access my account. The password reset email never arrives.,account,en,social,0.78
LBL-03592,The estimated delivery date has been pushed back three times.,The estimated delivery date has been pushed back three times.,delivery,en,chat,0.73
LBL-01053,My profile picture and settings were deleted without warning.,My profile picture and settings were deleted without warning.,account,en,email,0.77
LBL-01591,"I WAS CHARGED ₦5,000 TWICE THIS MONTH. PLEASE REVERSE ONE CHARGE.","I WAS CHARGED ₦5,000 TWICE THIS MONTH. PLEASE REVERSE ONE CHARGE.",billing,en,email,0.74
LBL-03009,The dark mode setting does not save between sessions!!!,The dark mode setting does not save between sessions!!!,technical,en,email,0.97
LBL-02030,"The refund of ₦1,000 I requested 2 days ago has not arrived. ❌","The refund of ₦1,000 I requested 2 days ago has not arrived. ❌",billing,en,social,0.83
LBL-03419,The delivery driver did not knock — just marked it as delivered.,The delivery driver did not knock — just marked it as delivered.,delivery,en,social,0.95
LBL-01808,My payment dey fail but my card dey work. Wetin dey happen?,My payment dey fail but my card dey work. Wetin dey happen?,billing,pcm,chat,0.72
LBL-02697,The search function returns no results even for obvious queries.,The search function returns no results even for obvious queries.,technical,en,chat,0.78
LBL-03040,THE SEARCH FUNCTION RETURNS NO RESULTS EVEN FOR OBVIOUS QUERIES.,THE SEARCH FUNCTION RETURNS NO RESULTS EVEN FOR OBVIOUS QUERIES.,technical,en,email,0.91
LBL-00473,I no fit change my email for account settings. System dey give error.,I no fit change my email for account settings. System dey give error.,account,pcm,social,0.98
LBL-03290,The estimated delivery date has been pushed back three times.,The estimated delivery date has been pushed back three times.,delivery,en,chat,0.93
LBL-04075,The pricing is too high compared to your competitors!!!,The pricing is too high compared to your competitors!!!,feedback,pcm,email,0.92
LBL-03497,I need to change my delivery address before dispatch.,I need to change my delivery address before dispatch.,delivery,en,social,0.87
LBL-00280,My account has been locked for 5 days and I cannot log in.,My account has been locked for 5 days and I cannot log in.,account,en,email,0.78
LBL-01742,"The refund of ₦2,500 I requested 8 days ago has not arrived.","The refund of ₦2,500 I requested 8 days ago has not arrived.",billing,en,chat,0.91
LBL-04625,I will destroy your reputation online if this is not fixed today!!!,I will destroy your reputation online if this is not fixed today!!!,abuse,en,social,0.94
LBL-02887,Notification stop working after update wey una do last week.,Notification stop working after update wey una do last week.,technical,pcm,email,0.84
LBL-01942,My payment dey fail but my card dey work. Wetin dey happen?!!!,My payment dey fail but my card dey work. Wetin dey happen?!!!,billing,pcm,chat,0.82
LBL-00101,The app is extremely slow — e dey do 15 seconds for simple task.,The app is extremely slow — e dey do 15 seconds for simple task.,account,mixed,chat,0.96
LBL-02805,The search function returns no results even for obvious queries.,The search function returns no results even for obvious queries.,technical,en,chat,0.99
LBL-03571,My parcel arrived damaged. I need a replacement or refund.,My parcel arrived damaged. I need a replacement or refund.,delivery,en,email,0.93
LBL-03685,The delivery driver did not knock — just marked it as delivered!!!,The delivery driver did not knock — just marked it as delivered!!!,delivery,pcm,chat,0.86
LBL-03662,The estimated delivery date has been pushed back three times. oya,The estimated delivery date has been pushed back three times. oya,delivery,pcm,chat,0.84
LBL-00531,Two-factor code no dey reach my phone. I no fit login.,Two-factor code no dey reach my phone. I no fit login.,account,pcm,email,0.95
LBL-01887,My invoice shows ₦500 but we agreed on ₦400.,My invoice shows ₦500 but we agreed on ₦400.,billing,en,email,0.91
LBL-00682,My account keeps logging me out every 42 hours.,My account keeps logging me out every 42 hours.,account,en,chat,0.91
LBL-03795,My order is showing as stuck in transit for 2 days.,My order is showing as stuck in transit for 2 days.,delivery,pcm,email,0.83
LBL-03945,My tracking shows delivered but nothing arrived at my address!!!,My tracking shows delivered but nothing arrived at my address!!!,feedback,mixed,email,0.97
LBL-04667,I will destroy your reputation online if this is not fixed today.,I will destroy your reputation online if this is not fixed today.,abuse,en,chat,0.74
LBL-02019,"Una charge me ₦1,000 two times this month. Abeg refund one.","Una charge me ₦1,000 two times this month. Abeg refund one.",billing,pcm,email,1.0
LBL-01097,My profile picture and settings were deleted without warning.,My profile picture and settings were deleted without warning.,account,en,social,0.83
LBL-00830,My account has been locked for 12 days and I cannot log in.,My account has been locked for 12 days and I cannot log in.,account,en,email,0.75
LBL-02806,The website does not load on Edge. I have cleared my cache.,The website does not load on Edge. I have cleared my cache.,technical,en,email,0.9
LBL-03830,My order ORD-834517 was supposed to arrive 6 days ago.,My order ORD-834517 was supposed to arrive 6 days ago.,delivery,pcm,social,0.89
LBL-04382,I love the new features but the performance has got worse.,I love the new features but the performance has got worse.,feedback,en,chat,0.96
LBL-03892,The delivery driver did not knock — just marked it as delivered.,The delivery driver did not knock — just marked it as delivered.,delivery,en,chat,0.96
LBL-00765,My profile picture and settings were deleted without warning.,My profile picture and settings were deleted without warning.,account,en,chat,0.88
LBL-02768,App don slow down die. Everything take 29 seconds.,App don slow down die. Everything take 29 seconds.,technical,pcm,email,0.73
LBL-04329,The new interface is really confusing. The old one was much better.,The new interface is really confusing. The old one was much better.,feedback,en,chat,0.86
LBL-03296,MY PACKAGE WAS DELIVERED TO THE WRONG ADDRESS.,MY PACKAGE WAS DELIVERED TO THE WRONG ADDRESS.,delivery,en,chat,0.75
LBL-02195,I need an invoice for ₦500 paid on 12 December 2025 for tax purposes!!!,I need an invoice for ₦500 paid on 12 December 2025 for tax purposes!!!,billing,en,social,0.98
LBL-02358,The app is extremely slow — every action takes 24 seconds.,The app is extremely slow — every action takes 24 seconds.,technical,en,chat,0.94
LBL-03426,The tracking page shows 'delivered' but nothing arrived.,The tracking page shows 'delivered' but nothing arrived.,delivery,en,chat,0.9
LBL-03980,I love the new features but the performance has got worse.,I love the new features but the performance has got worse.,feedback,en,chat,0.81
LBL-00912,I am unable to change my registered email address!!!,I am unable to change my registered email address!!!,account,en,email,0.78
LBL-03146,The app crashes every time I open it on Infinix Hot 30.,The app crashes every time I open it on Infinix Hot 30.,technical,en,email,0.92
LBL-01000,My profile picture and settings were deleted without warning.,My profile picture and settings were deleted without warning.,account,en,email,0.78
LBL-03654,My order ORD-588211 was supposed to arrive 10 days ago!!!,My order ORD-588211 was supposed to arrive 10 days ago!!!,delivery,pcm,social,0.83
