post_id,text,language,sentiment,city,platform,date
SNT-00021,Abeg e don work now. Una try well well. God bless.,en,positive,Kano,instagram,2025-06-24
SNT-00022,E no fix at all. Una be waste of time. Very bad experience.,mixed,negative,Lagos,instagram,2025-06-08
SNT-00023,Please let me know the status of my request.,en,neutral,Ibadan,twitter,2025-06-30
SNT-00024,Abeg I don tire. 14 days of nothing.,pcm,negative,Lagos,twitter,2025-06-17
SNT-00025,Outstanding customer support. Will definitely recommend.,en,positive,Lagos,twitter,2025-06-09
SNT-00026,Very smooth experience. The app works perfectly now.,en,positive,Abuja,twitter,2025-06-13
SNT-00027,Outstanding customer support. Will definitely recommend.,en,positive,Lagos,twitter,2025-06-09
SNT-00028,Requesting update on the refund process for order ORD-716529.,en,neutral,Kano,facebook,2025-06-03
SNT-00029,Abeg I don tire. 9 days of nothing.,en,negative,Lagos,instagram,2025-06-06
SNT-00030,My complaint has been ignored for 1 days.,en,negative,Port Harcourt,facebook,2025-06-04
SNT-00031,Still waiting. No response. Very frustrated.,en,negative,Lagos,instagram,2025-06-06
SNT-00032,This service has gone downhill. 6 years customer and this?,en,negative,Abuja,twitter,2025-06-14
SNT-00033,This is the worst customer service I have ever experienced.,en,negative,Lagos,twitter,2025-06-05
SNT-00034,Please let me know the status of my request.,pcm,neutral,Abuja,facebook,2025-06-16
SNT-00035,E don fix. Una be the best! Thank you so much.,pcm,positive,Ibadan,twitter,2025-06-14
SNT-00036,I am very disappointed with the level of service here.,mixed,negative,Abuja,instagram,2025-06-07
SNT-00037,My complaint has been ignored for 13 days.,en,negative,Abuja,instagram,2025-06-07
SNT-00038,My complaint has been ignored for 6 days.,en,negative,Lagos,twitter,2025-06-09
SNT-00039,This is the worst customer service I have ever experienced.,en,negative,Kano,facebook,2025-06-16
SNT-00040,My refund arrived. Thank you for the quick turnaround.,en,positive,Kano,facebook,2025-06-08
SNT-00041,Ìṣòro mi ti yanjú. Mo dúpẹ́ lọ́wọ́ yín.,en,positive,Kano,instagram,2025-06-28
SNT-00042,Ìṣòro mi ò tíì yanjú. Àṣìṣe nlá ni.,mixed,negative,Lagos,facebook,2025-06-04
SNT-00043,I am very disappointed with the level of service here.,en,negative,Lagos,instagram,2025-06-16
SNT-00044,I am following up on my complaint from 4 days ago.,ha,neutral,Port Harcourt,twitter,2025-06-05
SNT-00045,E don fix. Una be the best! Thank you so much.,en,positive,Ibadan,instagram,2025-06-19
SNT-00046,The issue was resolved very quickly. Excellent service.,pcm,positive,Lagos,twitter,2025-06-17
SNT-00047,I was told to wait 6 days. It has now been 6 days.,en,neutral,Ibadan,twitter,2025-06-28
SNT-00048,Outstanding customer support. Will definitely recommend.,pcm,positive,Lagos,twitter,2025-06-05
SNT-00049,My refund arrived. Thank you for the quick turnaround.,pcm,positive,Lagos,twitter,2025-06-16
SNT-00050,I am following up on my complaint from 13 days ago.,en,neutral,Ibadan,twitter,2025-06-28
SNT-00051,I have submitted the required documents as requested.,yo,neutral,Lagos,facebook,2025-06-12
SNT-00052,Very smooth experience. The app works perfectly now.,en,positive,Kano,instagram,2025-06-01
SNT-00053,The issue was resolved very quickly. Excellent service.,en,positive,Lagos,twitter,2025-06-01
SNT-00054,Ìṣòro mi ò tíì yanjú. Àṣìṣe nlá ni.,en,negative,Kano,instagram,2025-06-30
SNT-00055,I am very disappointed with the level of service here.,en,negative,Lagos,twitter,2025-06-13
SNT-00056,My ticket number is ORD-248419. Awaiting your response.,en,neutral,Ibadan,twitter,2025-06-28
SNT-00057,Still not resolved after 10 days. This is unacceptable.,en,negative,Port Harcourt,facebook,2025-06-10
SNT-00058,I am impressed by how fast the team responded to my complaint.,en,positive,Kano,facebook,2025-06-09
SNT-00059,This service has gone downhill. 2 years customer and this?,en,negative,Abuja,twitter,2025-06-08
SNT-00060,Can you confirm whether the issue has been escalated?,yo,neutral,Kano,twitter,2025-06-18
SNT-00061,Terrible experience from start to finish. Will not return.,en,negative,Lagos,facebook,2025-06-09
SNT-00062,Still not resolved after 2 days. This is unacceptable.,en,negative,Lagos,facebook,2025-06-30
SNT-00063,The issue was resolved very quickly. Excellent service.,en,positive,Port Harcourt,twitter,2025-06-01
SNT-00064,Ìṣòro mi ti yanjú. Mo dúpẹ́ lọ́wọ́ yín.,en,positive,Kano,twitter,2025-06-15
SNT-00065,This is the worst customer service I have ever experienced.,en,negative,Port Harcourt,facebook,2025-06-19
SNT-00066,Ìṣòro mi ò tíì yanjú. Àṣìṣe nlá ni.,mixed,negative,Lagos,twitter,2025-06-02
SNT-00067,I am very disappointed with the level of service here.,mixed,negative,Abuja,twitter,2025-06-30
SNT-00068,This is the worst customer service I have ever experienced.,pcm,negative,Lagos,instagram,2025-06-16
SNT-00069,I have submitted the required documents as requested.,en,neutral,Lagos,instagram,2025-06-03
SNT-00070,I was told to wait 11 days. It has now been 11 days.,pcm,neutral,Lagos,twitter,2025-06-26
SNT-00071,Finally sorted! The agent was very professional and helpful.,pcm,positive,Lagos,twitter,2025-06-23
SNT-00072,Can you confirm whether the issue has been escalated?,en,neutral,Kano,twitter,2025-06-13
SNT-00073,The new update fixed all my issues. Great improvement.,en,positive,Abuja,twitter,2025-06-27
SNT-00074,I am following up on my complaint from 7 days ago.,pcm,neutral,Ibadan,twitter,2025-06-15
SNT-00075,I have submitted the required documents as requested.,en,neutral,Lagos,twitter,2025-06-14
SNT-00076,Terrible experience from start to finish. Will not return.,pcm,negative,Lagos,facebook,2025-06-19
SNT-00077,Outstanding customer support. Will definitely recommend.,en,positive,Lagos,facebook,2025-06-06
SNT-00078,E no fix at all. Una be waste of time. Very bad experience.,en,negative,Lagos,instagram,2025-06-10
SNT-00079,The new update fixed all my issues. Great improvement.,en,positive,Lagos,instagram,2025-06-26
SNT-00080,Ìṣòro mi ti yanjú. Mo dúpẹ́ lọ́wọ́ yín.,en,positive,Abuja,instagram,2025-06-23
SNT-00081,Please let me know the status of my request.,en,neutral,Lagos,facebook,2025-06-10
SNT-00082,Abeg I don tire. 6 days of nothing.,en,negative,Lagos,instagram,2025-06-30
SNT-00083,Outstanding customer support. Will definitely recommend.,en,positive,Lagos,instagram,2025-06-12
SNT-00084,The issue was resolved very quickly. Excellent service.,en,positive,Port Harcourt,twitter,2025-06-24
SNT-00085,Ìṣòro mi ò tíì yanjú. Àṣìṣe nlá ni.,en,negative,Lagos,twitter,2025-06-02
SNT-00086,I was told to wait 7 days. It has now been 7 days.,pcm,neutral,Lagos,facebook,2025-06-08
SNT-00087,My refund arrived. Thank you for the quick turnaround.,en,positive,Kano,twitter,2025-06-18
SNT-00088,The issue was resolved very quickly. Excellent service.,en,positive,Lagos,instagram,2025-06-13
SNT-00089,I am very disappointed with the level of service here.,pcm,negative,Abuja,twitter,2025-06-19
SNT-00090,Finally sorted! The agent was very professional and helpful.,en,positive,Abuja,instagram,2025-06-12
SNT-00091,Finally sorted! The agent was very professional and helpful.,en,positive,Port Harcourt,instagram,2025-06-28
SNT-00092,I am very disappointed with the level of service here.,pcm,negative,Lagos,twitter,2025-06-15
SNT-00093,My ticket number is ORD-244940. Awaiting your response.,en,neutral,Abuja,facebook,2025-06-17
SNT-00094,Una don receive my email? I need status update.,mixed,neutral,Lagos,instagram,2025-06-27
SNT-00095,Abeg e don work now. Una try well well. God bless.,en,positive,Lagos,instagram,2025-06-27
SNT-00096,I am very disappointed with the level of service here.,en,negative,Lagos,twitter,2025-06-13
SNT-00097,Still not resolved after 10 days. This is unacceptable.,en,negative,Abuja,facebook,2025-06-21
SNT-00098,Abeg e don work now. Una try well well. God bless.,mixed,positive,Abuja,facebook,2025-06-05
SNT-00099,E don fix. Una be the best! Thank you so much.,en,positive,Kano,instagram,2025-06-19
SNT-00100,Finally sorted! The agent was very professional and helpful.,en,positive,Lagos,instagram,2025-06-19
SNT-00101,My ticket number is ORD-876986. Awaiting your response.,pcm,neutral,Lagos,instagram,2025-06-08
SNT-00102,Abeg e don work now. Una try well well. God bless.,en,positive,Abuja,twitter,2025-06-25
SNT-00103,E no fix at all. Una be waste of time. Very bad experience.,mixed,negative,Abuja,instagram,2025-06-07
SNT-00104,Abeg e don work now. Una try well well. God bless.,mixed,positive,Port Harcourt,twitter,2025-06-18
SNT-00105,I am impressed by how fast the team responded to my complaint.,yo,positive,Abuja,twitter,2025-06-12
SNT-00106,This service has gone downhill. 5 years customer and this?,en,negative,Kano,instagram,2025-06-19
SNT-00107,Can you confirm whether the issue has been escalated?,pcm,neutral,Abuja,instagram,2025-06-30
SNT-00108,The new update fixed all my issues. Great improvement.,en,positive,Kano,twitter,2025-06-21
SNT-00109,Outstanding customer support. Will definitely recommend.,en,positive,Lagos,facebook,2025-06-07
SNT-00110,My complaint has been ignored for 5 days.,en,negative,Abuja,twitter,2025-06-07
SNT-00111,I was told to wait 7 days. It has now been 7 days.,en,neutral,Lagos,facebook,2025-06-08
SNT-00112,My ticket number is ORD-561639. Awaiting your response.,en,neutral,Port Harcourt,twitter,2025-06-14
SNT-00113,E no fix at all. Una be waste of time. Very bad experience.,en,negative,Lagos,instagram,2025-06-12
SNT-00114,I am very disappointed with the level of service here.,en,negative,Lagos,instagram,2025-06-28
SNT-00115,Outstanding customer support. Will definitely recommend.,en,positive,Kano,instagram,2025-06-01
SNT-00116,Ìṣòro mi ò tíì yanjú. Àṣìṣe nlá ni.,en,negative,Abuja,facebook,2025-06-05
SNT-00117,Requesting update on the refund process for order ORD-208710.,mixed,neutral,Port Harcourt,twitter,2025-06-06
SNT-00118,I am very disappointed with the level of service here.,pcm,negative,Abuja,instagram,2025-06-18
SNT-00119,Una don receive my email? I need status update.,en,neutral,Abuja,twitter,2025-06-29
SNT-00120,Outstanding customer support. Will definitely recommend.,en,positive,Lagos,twitter,2025-06-13
SNT-00121,I have submitted the required documents as requested.,en,neutral,Kano,facebook,2025-06-23
SNT-00122,My complaint has been ignored for 4 days.,en,negative,Kano,twitter,2025-06-28
SNT-00123,I am very disappointed with the level of service here.,en,negative,Lagos,instagram,2025-06-04
SNT-00124,E don fix. Una be the best! Thank you so much.,en,positive,Lagos,facebook,2025-06-04
SNT-00125,Abeg e don work now. Una try well well. God bless.,en,positive,Abuja,instagram,2025-06-09
SNT-00126,This is the worst customer service I have ever experienced.,en,negative,Port Harcourt,twitter,2025-06-27
SNT-00127,Please let me know the status of my request.,pcm,neutral,Kano,twitter,2025-06-13
SNT-00128,I have submitted the required documents as requested.,en,neutral,Abuja,facebook,2025-06-26
SNT-00129,My refund arrived. Thank you for the quick turnaround.,en,positive,Lagos,twitter,2025-06-02
SNT-00130,I am very disappointed with the level of service here.,en,negative,Abuja,facebook,2025-06-28
SNT-00131,Abeg I don tire. 11 days of nothing.,en,negative,Port Harcourt,twitter,2025-06-04
SNT-00132,I was told to wait 3 days. It has now been 3 days.,en,neutral,Lagos,instagram,2025-06-19
SNT-00133,My ticket number is ORD-152545. Awaiting your response.,en,neutral,Ibadan,twitter,2025-06-25
SNT-00134,Still waiting. No response. Very frustrated.,en,negative,Lagos,instagram,2025-06-09
SNT-00135,Can you confirm whether the issue has been escalated?,en,neutral,Lagos,instagram,2025-06-27
SNT-00136,My complaint has been ignored for 3 days.,ha,negative,Lagos,instagram,2025-06-12
SNT-00137,The new update fixed all my issues. Great improvement.,en,positive,Port Harcourt,twitter,2025-06-28
SNT-00138,Still waiting. No response. Very frustrated.,en,negative,Ibadan,twitter,2025-06-11
SNT-00139,Terrible experience from start to finish. Will not return.,pcm,negative,Lagos,facebook,2025-06-25
SNT-00140,The issue was resolved very quickly. Excellent service.,en,positive,Kano,twitter,2025-06-07
SNT-00141,E don fix. Una be the best! Thank you so much.,en,positive,Lagos,twitter,2025-06-15
SNT-00142,I am very disappointed with the level of service here.,yo,negative,Ibadan,twitter,2025-06-13
SNT-00143,This service has gone downhill. 6 years customer and this?,pcm,negative,Lagos,twitter,2025-06-09
SNT-00144,Still not resolved after 3 days. This is unacceptable.,en,negative,Lagos,twitter,2025-06-04
SNT-00145,E don fix. Una be the best! Thank you so much.,en,positive,Kano,instagram,2025-06-14
SNT-00146,Ìṣòro mi ò tíì yanjú. Àṣìṣe nlá ni.,mixed,negative,Lagos,twitter,2025-06-05
SNT-00147,I am following up on my complaint from 11 days ago.,mixed,neutral,Lagos,instagram,2025-06-30
SNT-00148,Ìṣòro mi ò tíì yanjú. Àṣìṣe nlá ni.,en,negative,Lagos,instagram,2025-06-28
SNT-00149,Still not resolved after 4 days. This is unacceptable.,en,negative,Abuja,twitter,2025-06-23
SNT-00150,I am impressed by how fast the team responded to my complaint.,ha,positive,Port Harcourt,twitter,2025-06-15
SNT-00151,Very smooth experience. The app works perfectly now.,pcm,positive,Lagos,facebook,2025-06-04
SNT-00152,Terrible experience from start to finish. Will not return.,en,negative,Lagos,twitter,2025-06-07
SNT-00153,My complaint has been ignored for 4 days.,en,negative,Abuja,facebook,2025-06-03
SNT-00154,Terrible experience from start to finish. Will not return.,mixed,negative,Port Harcourt,twitter,2025-06-12
SNT-00155,E no fix at all. Una be waste of time. Very bad experience.,mixed,negative,Kano,facebook,2025-06-16
SNT-00156,Una don receive my email? I need status update.,mixed,neutral,Lagos,instagram,2025-06-10
SNT-00157,My ticket number is ORD-247959. Awaiting your response.,en,neutral,Abuja,twitter,2025-06-04
SNT-00158,I have submitted the required documents as requested.,en,neutral,Lagos,twitter,2025-06-09
SNT-00159,I am following up on my complaint from 12 days ago.,en,neutral,Kano,instagram,2025-06-23
SNT-00160,Finally sorted! The agent was very professional and helpful.,en,positive,Port Harcourt,instagram,2025-06-11
SNT-00161,Abeg e don work now. Una try well well. God bless.,en,positive,Abuja,twitter,2025-06-19
SNT-00162,I was told to wait 7 days. It has now been 7 days.,en,neutral,Lagos,twitter,2025-06-12
SNT-00163,This service has gone downhill. 8 years customer and this?,en,negative,Lagos,instagram,2025-06-02
SNT-00164,My refund arrived. Thank you for the quick turnaround.,en,positive,Kano,twitter,2025-06-14
SNT-00165,Still waiting. No response. Very frustrated.,en,negative,Kano,facebook,2025-06-15
SNT-00166,My ticket number is ORD-110641. Awaiting your response.,en,neutral,Lagos,twitter,2025-06-25
SNT-00167,My ticket number is ORD-454907. Awaiting your response.,pcm,neutral,Abuja,instagram,2025-06-23
SNT-00168,I have submitted the required documents as requested.,en,neutral,Port Harcourt,facebook,2025-06-12
SNT-00169,My refund arrived. Thank you for the quick turnaround.,pcm,positive,Lagos,twitter,2025-06-10
SNT-00170,Finally sorted! The agent was very professional and helpful.,mixed,positive,Abuja,instagram,2025-06-02
SNT-00171,Outstanding customer support. Will definitely recommend.,en,positive,Kano,twitter,2025-06-19
SNT-00172,I am impressed by how fast the team responded to my complaint.,en,positive,Lagos,twitter,2025-06-30
SNT-00173,This service has gone downhill. 6 years customer and this?,pcm,negative,Abuja,twitter,2025-06-17
SNT-00174,Abeg e don work now. Una try well well. God bless.,en,positive,Abuja,instagram,2025-06-09
SNT-00175,Very smooth experience. The app works perfectly now.,mixed,positive,Port Harcourt,twitter,2025-06-14
SNT-00176,I am very disappointed with the level of service here.,en,negative,Lagos,facebook,2025-06-15
SNT-00177,Requesting update on the refund process for order ORD-606725.,en,neutral,Abuja,twitter,2025-06-29
SNT-00178,My complaint has been ignored for 11 days.,en,negative,Lagos,instagram,2025-06-14
SNT-00179,My complaint has been ignored for 3 days.,en,negative,Lagos,facebook,2025-06-05
SNT-00180,This service has gone downhill. 7 years customer and this?,en,negative,Kano,instagram,2025-06-09
SNT-00181,Can you confirm whether the issue has been escalated?,en,neutral,Ibadan,instagram,2025-06-19
SNT-00182,Still waiting. No response. Very frustrated.,en,negative,Lagos,twitter,2025-06-26
SNT-00183,I am impressed by how fast the team responded to my complaint.,en,positive,Kano,twitter,2025-06-27
SNT-00184,Una don receive my email? I need status update.,en,neutral,Lagos,instagram,2025-06-20
SNT-00185,Abeg I don tire. 4 days of nothing.,pcm,negative,Kano,twitter,2025-06-01
SNT-00186,Terrible experience from start to finish. Will not return.,en,negative,Ibadan,twitter,2025-06-27
SNT-00187,Ìṣòro mi ò tíì yanjú. Àṣìṣe nlá ni.,en,negative,Port Harcourt,instagram,2025-06-07
SNT-00188,Outstanding customer support. Will definitely recommend.,en,positive,Lagos,twitter,2025-06-21
SNT-00189,Outstanding customer support. Will definitely recommend.,pcm,positive,Lagos,facebook,2025-06-06
SNT-00190,I have submitted the required documents as requested.,en,neutral,Lagos,instagram,2025-06-14
SNT-00191,I am very disappointed with the level of service here.,en,negative,Lagos,twitter,2025-06-07
SNT-00192,My ticket number is ORD-755678. Awaiting your response.,en,neutral,Ibadan,twitter,2025-06-06
SNT-00193,Can you confirm whether the issue has been escalated?,en,neutral,Abuja,twitter,2025-06-02
SNT-00194,The issue was resolved very quickly. Excellent service.,pcm,positive,Abuja,twitter,2025-06-26
SNT-00195,I was told to wait 3 days. It has now been 3 days.,en,neutral,Lagos,facebook,2025-06-25
SNT-00196,Still not resolved after 5 days. This is unacceptable.,mixed,negative,Kano,twitter,2025-06-08
SNT-00197,Can you confirm whether the issue has been escalated?,en,neutral,Lagos,instagram,2025-06-14
SNT-00198,Outstanding customer support. Will definitely recommend.,en,positive,Lagos,twitter,2025-06-14
SNT-00199,Requesting update on the refund process for order ORD-464082.,en,neutral,Ibadan,facebook,2025-06-18
SNT-00200,Very smooth experience. The app works perfectly now.,en,positive,Kano,twitter,2025-06-03
SNT-00201,E no fix at all. Una be waste of time. Very bad experience.,en,negative,Abuja,instagram,2025-06-14
SNT-00202,Requesting update on the refund process for order ORD-208166.,en,neutral,Lagos,twitter,2025-06-13
SNT-00203,Very smooth experience. The app works perfectly now.,en,positive,Port Harcourt,facebook,2025-06-03
SNT-00204,Finally sorted! The agent was very professional and helpful.,pcm,positive,Ibadan,twitter,2025-06-01
SNT-00205,I have submitted the required documents as requested.,en,neutral,Lagos,instagram,2025-06-28
SNT-00206,Terrible experience from start to finish. Will not return.,en,negative,Lagos,instagram,2025-06-07
SNT-00207,Still waiting. No response. Very frustrated.,en,negative,Kano,twitter,2025-06-13
SNT-00208,This is the worst customer service I have ever experienced.,en,negative,Kano,facebook,2025-06-03
SNT-00209,Can you confirm whether the issue has been escalated?,en,neutral,Ibadan,instagram,2025-06-11
SNT-00210,This service has gone downhill. 2 years customer and this?,pcm,negative,Lagos,twitter,2025-06-13
SNT-00211,This service has gone downhill. 5 years customer and this?,en,negative,Lagos,instagram,2025-06-25
SNT-00212,Very smooth experience. The app works perfectly now.,pcm,positive,Abuja,instagram,2025-06-15
SNT-00213,Terrible experience from start to finish. Will not return.,mixed,negative,Lagos,instagram,2025-06-29
SNT-00214,Still not resolved after 14 days. This is unacceptable.,mixed,negative,Abuja,facebook,2025-06-09
SNT-00215,My refund arrived. Thank you for the quick turnaround.,pcm,positive,Ibadan,twitter,2025-06-16
SNT-00216,E no fix at all. Una be waste of time. Very bad experience.,pcm,negative,Port Harcourt,instagram,2025-06-03
SNT-00217,The issue was resolved very quickly. Excellent service.,en,positive,Lagos,twitter,2025-06-15
SNT-00218,I am very disappointed with the level of service here.,en,negative,Lagos,twitter,2025-06-29
SNT-00219,My ticket number is ORD-833566. Awaiting your response.,pcm,neutral,Ibadan,twitter,2025-06-26
SNT-00220,I am very disappointed with the level of service here.,en,negative,Abuja,twitter,2025-06-30
SNT-00221,Requesting update on the refund process for order ORD-564917.,en,neutral,Abuja,facebook,2025-06-29
SNT-00222,This service has gone downhill. 3 years customer and this?,en,negative,Lagos,twitter,2025-06-21
SNT-00223,The issue was resolved very quickly. Excellent service.,en,positive,Lagos,twitter,2025-06-15
SNT-00224,The issue was resolved very quickly. Excellent service.,pcm,positive,Kano,instagram,2025-06-13
SNT-00225,Abeg I don tire. 12 days of nothing.,en,negative,Port Harcourt,instagram,2025-06-12
SNT-00226,Very smooth experience. The app works perfectly now.,en,positive,Ibadan,instagram,2025-06-24
SNT-00227,Very smooth experience. The app works perfectly now.,en,positive,Ibadan,twitter,2025-06-19
SNT-00228,Outstanding customer support. Will definitely recommend.,en,positive,Kano,twitter,2025-06-30
SNT-00229,E don fix. Una be the best! Thank you so much.,en,positive,Kano,instagram,2025-06-17
SNT-00230,My refund arrived. Thank you for the quick turnaround.,en,positive,Lagos,twitter,2025-06-07
SNT-00231,This service has gone downhill. 8 years customer and this?,mixed,negative,Kano,twitter,2025-06-30
SNT-00232,This service has gone downhill. 6 years customer and this?,en,negative,Port Harcourt,twitter,2025-06-23
SNT-00233,The new update fixed all my issues. Great improvement.,en,positive,Abuja,twitter,2025-06-16
SNT-00234,Una don receive my email? I need status update.,yo,neutral,Lagos,twitter,2025-06-13
SNT-00235,Very smooth experience. The app works perfectly now.,en,positive,Lagos,twitter,2025-06-02
SNT-00236,Can you confirm whether the issue has been escalated?,en,neutral,Lagos,twitter,2025-06-09
SNT-00237,Still not resolved after 8 days. This is unacceptable.,pcm,negative,Ibadan,twitter,2025-06-26
SNT-00238,Outstanding customer support. Will definitely recommend.,ha,positive,Kano,twitter,2025-06-10
SNT-00239,I am very disappointed with the level of service here.,pcm,negative,Lagos,twitter,2025-06-26
SNT-00240,I am very disappointed with the level of service here.,en,negative,Lagos,twitter,2025-06-10
SNT-00241,Requesting update on the refund process for order ORD-703036.,pcm,neutral,Ibadan,instagram,2025-06-30
SNT-00242,This is the worst customer service I have ever experienced.,pcm,negative,Lagos,twitter,2025-06-13
SNT-00243,Outstanding customer support. Will definitely recommend.,en,positive,Lagos,twitter,2025-06-30
SNT-00244,E no fix at all. Una be waste of time. Very bad experience.,en,negative,Port Harcourt,facebook,2025-06-22
SNT-00245,E no fix at all. Una be waste of time. Very bad experience.,mixed,negative,Port Harcourt,facebook,2025-06-29
SNT-00246,Please let me know the status of my request.,en,neutral,Lagos,instagram,2025-06-27
SNT-00247,Abeg I don tire. 3 days of nothing.,mixed,negative,Lagos,twitter,2025-06-30
SNT-00248,I am impressed by how fast the team responded to my complaint.,pcm,positive,Lagos,twitter,2025-06-02
SNT-00249,I have submitted the required documents as requested.,en,neutral,Lagos,twitter,2025-06-18
SNT-00250,I am very disappointed with the level of service here.,en,negative,Abuja,twitter,2025-06-26
SNT-00251,Ìṣòro mi ti yanjú. Mo dúpẹ́ lọ́wọ́ yín.,en,positive,Abuja,twitter,2025-06-16
SNT-00252,I am impressed by how fast the team responded to my complaint.,en,positive,Lagos,instagram,2025-06-21
SNT-00253,Still not resolved after 12 days. This is unacceptable.,mixed,negative,Port Harcourt,twitter,2025-06-07
SNT-00254,I am very disappointed with the level of service here.,en,negative,Abuja,twitter,2025-06-11
SNT-00255,Still waiting. No response. Very frustrated.,pcm,negative,Kano,twitter,2025-06-23
SNT-00256,Abeg I don tire. 11 days of nothing.,pcm,negative,Port Harcourt,twitter,2025-06-03
SNT-00257,Very smooth experience. The app works perfectly now.,en,positive,Lagos,twitter,2025-06-05
SNT-00258,Finally sorted! The agent was very professional and helpful.,mixed,positive,Lagos,facebook,2025-06-27
SNT-00259,This is the worst customer service I have ever experienced.,en,negative,Lagos,twitter,2025-06-14
SNT-00260,I am very disappointed with the level of service here.,en,negative,Lagos,twitter,2025-06-03
SNT-00261,Ìṣòro mi ti yanjú. Mo dúpẹ́ lọ́wọ́ yín.,en,positive,Lagos,twitter,2025-06-02
SNT-00262,My ticket number is ORD-799962. Awaiting your response.,en,neutral,Lagos,twitter,2025-06-16
SNT-00263,This service has gone downhill. 6 years customer and this?,en,negative,Abuja,instagram,2025-06-05
SNT-00264,I have submitted the required documents as requested.,pcm,neutral,Lagos,facebook,2025-06-29
SNT-00265,Ìṣòro mi ti yanjú. Mo dúpẹ́ lọ́wọ́ yín.,en,positive,Abuja,facebook,2025-06-05
SNT-00266,Terrible experience from start to finish. Will not return.,mixed,negative,Lagos,twitter,2025-06-01
SNT-00267,Still waiting. No response. Very frustrated.,en,negative,Kano,facebook,2025-06-04
SNT-00268,E no fix at all. Una be waste of time. Very bad experience.,en,negative,Lagos,instagram,2025-06-12
SNT-00269,This is the worst customer service I have ever experienced.,pcm,negative,Abuja,twitter,2025-06-08
SNT-00270,The new update fixed all my issues. Great improvement.,mixed,positive,Lagos,twitter,2025-06-11
SNT-00271,I am very disappointed with the level of service here.,en,negative,Lagos,twitter,2025-06-11
SNT-00272,Abeg e don work now. Una try well well. God bless.,en,positive,Port Harcourt,facebook,2025-06-22
SNT-00273,My refund arrived. Thank you for the quick turnaround.,en,positive,Lagos,twitter,2025-06-16
SNT-00274,Abeg e don work now. Una try well well. God bless.,pcm,positive,Lagos,twitter,2025-06-20
SNT-00275,I am impressed by how fast the team responded to my complaint.,en,positive,Lagos,twitter,2025-06-03
SNT-00276,Can you confirm whether the issue has been escalated?,en,neutral,Lagos,twitter,2025-06-28
SNT-00277,I was told to wait 11 days. It has now been 11 days.,en,neutral,Lagos,facebook,2025-06-05
SNT-00278,Still waiting. No response. Very frustrated.,en,negative,Lagos,twitter,2025-06-30
SNT-00279,This service has gone downhill. 5 years customer and this?,en,negative,Port Harcourt,instagram,2025-06-30
SNT-00280,My ticket number is ORD-710364. Awaiting your response.,en,neutral,Lagos,twitter,2025-06-20
SNT-00281,Can you confirm whether the issue has been escalated?,pcm,neutral,Abuja,instagram,2025-06-08
SNT-00282,Una don receive my email? I need status update.,pcm,neutral,Kano,twitter,2025-06-24
SNT-00283,My complaint has been ignored for 2 days.,en,negative,Ibadan,instagram,2025-06-09
SNT-00284,My refund arrived. Thank you for the quick turnaround.,en,positive,Lagos,facebook,2025-06-03
SNT-00285,Still waiting. No response. Very frustrated.,en,negative,Port Harcourt,facebook,2025-06-06
SNT-00286,Una don receive my email? I need status update.,en,neutral,Lagos,twitter,2025-06-12
SNT-00287,Can you confirm whether the issue has been escalated?,pcm,neutral,Lagos,twitter,2025-06-14
